idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010002000200,135,1,0,0,45,6
1708020009000400,118,0,0,0,29,0
1708010004000100,78,8,4,0,32,1
1708020010000200,117,1,0,0,0,0
1708020010000300,26,4,24,0,44,16
1708010005000100,17,12,80,0,3,0
1708020009000600,46,2,8,1,48,0
1708020001000200,9,13,75,0,3,1
1708010002000600,81,0,0,0,0,0
1708010005000200,69,12,0,0,0,0
1708020002000200,72,0,0,0,0,0
1708010005000400,65,0,0,0,0,0
1708020008000500,53,0,0,0,12,0
1708020010000100,64,0,0,0,0,0
1708020001000500,61,1,0,0,0,0
1708010005000300,58,2,0,0,0,0
1708020001000100,55,0,1,0,1,3
1708020016000100,37,0,23,0,0,0
1708010003000100,0,37,8,0,12,2
1708020001000300,1,2,32,0,20,0
1708020001000400,1,2,22,0,12,18
1708020016000300,42,0,0,0,11,0
1708020008000100,0,6,28,0,17,0
1708010003000400,37,0,8,0,3,0
1708010002000700,3,0,29,0,15,0
1708020012000200,45,0,0,0,2,0
1708010002000500,40,1,4,0,1,0
1708010004000200,44,0,2,0,0,0
1708010002000800,44,0,0,0,1,0
1708020008000200,2,7,11,0,24,1
1708020012000100,11,1,2,0,22,7
1708020008000600,37,0,0,0,4,0
1708020008000400,28,0,0,0,12,0
1708010003000500,17,3,2,0,14,0
1708020008000300,7,21,0,0,8,0
1708010003000300,18,6,4,0,3,1
1708010003000200,1,14,6,0,8,0
1708020009000700,27,0,0,0,2,0
1708010004001200,19,0,0,0,0,0
1708010004001300,17,0,0,0,0,0
1708020009000800,9,0,0,0,0,0
1708010004001000,2,2,3,0,0,0
1708020016000200,7,0,0,0,0,0
1708010004001100,2,0,0,0,0,0
1708020009100100,2,0,0,0,0,0
1708010002100100,1,0,0,0,0,0
1708010004100100,1,0,0,0,0,0
1708020001200100,1,0,0,0,0,0
1708020008100100,0,0,0,0,1,0
1708020010200100,0,0,1,0,0,0
1708020006000300,178,13,0,1,0,0
1708020009000100,55,42,44,0,13,2
1708020006000200,39,30,3,0,3,80
1708040002000100,80,7,64,0,0,0
1708020006000400,80,10,45,0,0,0
1708020003000100,96,6,25,0,0,2
1708020003000200,6,11,44,0,56,8
1708020002000100,118,0,0,0,0,0
1708020006000100,8,21,58,0,17,0
1708020009000200,91,0,0,0,0,1
1708020014000100,20,1,56,0,11,0
1708020014000600,81,0,0,0,0,0
1708020011000100,2,0,67,0,7,1
1708020009000300,75,1,0,0,0,0
1708020011000400,75,0,0,0,0,0
1708020015000100,30,1,38,0,5,1
1708020011000200,22,0,42,0,3,1
1708020014000300,68,0,0,0,0,0
1708020007000100,65,0,0,0,0,0
1708020009000500,64,0,0,0,0,0
1708040002000200,64,0,0,0,0,0
1708020017000100,63,0,0,0,0,0
1708020015000500,61,0,0,0,0,0
1708020007000200,57,0,0,0,0,0
