idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010002000200,140,0,28,0,16,0
1708020009000400,147,0,0,0,0,0
1708010004000100,122,0,0,0,0,0
1708020010000200,118,0,0,0,0,0
1708010005000100,47,16,42,0,2,0
1708020010000300,75,0,29,0,1,0
1708020009000600,68,1,26,1,0,0
1708020001000200,83,0,0,0,2,1
1708010002000600,81,0,0,0,0,0
1708010005000200,78,1,0,0,0,0
1708020002000200,72,0,0,0,0,0
1708010005000400,65,0,0,0,0,0
1708020008000500,63,0,2,0,0,0
1708020010000100,64,0,0,0,0,0
1708020001000500,62,0,0,0,0,0
1708010005000300,58,2,0,0,0,0
1708020001000100,56,0,0,0,1,3
1708020016000100,60,0,0,0,0,0
1708010003000100,0,53,4,0,1,1
1708020001000400,1,4,12,0,10,28
1708020001000300,2,1,48,0,2,0
1708020016000300,53,0,0,0,0,0
1708020008000100,2,7,26,0,16,0
1708010003000400,45,2,0,0,0,0
1708020012000200,47,0,0,0,0,0
1708010002000500,46,0,0,0,0,0
1708010004000200,46,0,0,0,0,0
1708010002000800,44,0,0,0,1,0
1708020008000200,3,14,26,0,0,0
1708020008000600,39,0,2,0,0,0
1708020012000100,19,0,15,0,7,0
1708020008000400,29,0,10,0,0,1
1708010002000700,39,0,0,0,0,0
1708020008000300,7,21,7,0,1,0
1708010003000500,19,2,13,0,0,0
1708010003000300,22,6,4,0,0,0
1708010003000200,1,20,4,0,1,3
1708020009000700,28,0,1,0,0,0
1708010004001200,19,0,0,0,0,0
1708010004001300,17,0,0,0,0,0
1708020009000800,9,0,0,0,0,0
1708010004001000,7,0,0,0,0,0
1708020016000200,7,0,0,0,0,0
1708010004001100,2,0,0,0,0,0
1708020009100100,2,0,0,0,0,0
1708010002100100,1,0,0,0,0,0
1708010004100100,1,0,0,0,0,0
1708020001200100,1,0,0,0,0,0
1708020008100100,1,0,0,0,0,0
1708020010200100,1,0,0,0,0,0
1708020006000300,190,0,0,1,0,0
1708020006000200,86,17,49,0,0,0
1708040002000100,84,45,20,0,0,0
1708020009000100,85,16,41,0,0,0
1708020006000400,119,9,0,0,0,0
1708020002000100,118,0,0,0,0,0
1708020003000100,117,0,0,0,0,0
1708020003000200,13,3,96,0,3,0
1708020006000100,10,35,52,0,5,1
1708020009000200,91,0,1,0,0,0
1708020014000100,37,0,44,0,0,0
1708020014000600,81,0,0,0,0,0
1708020011000100,2,0,75,0,0,0
1708020009000300,75,1,0,0,0,0
1708020011000400,75,0,0,0,0,0
1708020014000300,68,0,0,0,0,0
1708020015000100,47,1,18,0,0,1
1708020007000100,65,0,0,0,0,0
1708020009000500,64,0,0,0,0,0
1708040002000200,64,0,0,0,0,0
1708020017000100,63,0,0,0,0,0
1708020015000500,61,0,0,0,0,0
1708020011000200,48,1,11,0,0,0
1708020007000200,57,0,0,0,0,0
1708020019000100,50,4,0,0,0,0
1708020011000300,53,0,0,0,0,0
1708020015000400,50,0,0,0,0,0
1708020014000200,48,0,0,0,0,0
1708020014000500,43,0,0,0,0,0
1708020006000500,39,0,0,0,0,0
1708020019000200,39,0,0,0,0,0
1708020018000100,36,0,0,0,0,0
1708020015000300,34,1,0,0,0,0
1708020017000200,33,0,0,0,0,0
1708020015000200,21,4,3,0,0,0
1708020017000400,24,0,0,0,0,0
1708040002200200,21,1,1,0,0,0
1708020017000300,22,0,0,0,0,0
1708020002000300,19,0,0,0,0,0
1708020017000500,18,0,0,0,0,0
1708020018000300,9,0,0,0,0,0
1708020018000200,5,0,0,0,0,0
1708020019000300,0,0,1,0,2,0
1708020002200100,2,0,0,0,0,0
1708020011200200,2,0,0,0,0,0
1708020015000600,2,0,0,0,0,0
1708020011100100,1,0,0,0,0,0
1708040002100100,0,0,1,0,0,0
