idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,6,0,63,0
1708060001000100,30,14,2,0,64,24
1708060001000200,67,38,0,0,3,22
1708010001000200,1,0,33,0,82,1
1708060001000300,114,0,0,0,0,0
1708010004000500,9,0,8,0,38,54
1708010002000100,80,0,1,0,14,0
1708010004000600,89,1,0,0,2,0
1708060002000200,12,62,0,0,11,7
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,1,0,0,0
1708060002000100,2,11,0,0,69,2
1708060016000100,46,38,0,0,0,0
1708010007000300,70,2,0,0,6,2
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,0,0,3,1
1708060016000200,60,3,0,0,0,0
1708010001000100,29,0,17,0,16,0
1708010008000100,0,4,2,0,23,31
1708010005000700,13,27,0,0,7,12
1708010007000100,29,6,3,0,20,0
1708060016000400,52,3,0,0,0,0
1708010004000400,30,0,8,0,10,1
1708010005000800,2,0,1,0,29,17
1708060016000300,49,0,0,0,0,0
1708010006000300,48,0,0,0,0,0
1708010006000400,10,3,1,0,27,7
1708010005001000,1,2,0,0,34,3
1708010006000700,9,7,21,0,2,0
1708010006000100,0,0,3,0,21,14
1708010006000600,38,0,0,0,0,0
1708010004000300,7,0,0,0,25,4
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,0,0,22,9
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,1,0,0,0,0
1708010008000200,2,0,0,0,8,0
1708010007000600,6,0,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,1,1,0,0,2,0
1708010006000800,3,0,0,0,0,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,1,1
1708040004000100,22,20,4,0,158,34
1708040011000200,147,3,0,0,33,10
1708040003000100,18,27,3,0,66,42
1708020004000100,31,12,0,0,104,3
1708040001000300,144,0,0,0,0,0
1708040004000300,1,1,1,0,136,2
1708040004000400,132,1,1,0,1,2
1708040014000100,3,5,0,0,73,55
1708040011000300,2,45,0,0,20,63
1708040011000100,104,15,0,0,0,0
1708040003000200,86,1,2,0,13,0
1708040014000200,47,23,0,0,23,5
1708020013000200,64,20,0,0,8,0
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,11,0,0,35,31
1708020004000200,23,3,0,0,41,11
1708020013000100,67,3,0,0,8,0
1708040003000300,69,2,0,0,0,0
1708020014000400,0,0,0,0,58,3
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708040001000200,52,1,0,0,7,0
1708020012000300,0,0,0,0,47,0
1708020013000400,46,0,0,0,0,0
